iata,icao,name,city,country,lat,lon
,ETIH,Hohenfels Army Airfield,Hohenfels,DE,49.216541,11.836064
FCN,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,53.767689,8.659201
,ETND,Diepholz Air Base,Diepholz,DE,52.585556,8.342222
GKE,ETNG,Geilenkirchen Air Base,Geilenkirchen,DE,50.960800,6.042420
,ETNH,Hohn Air Base,Hohn,DE,54.312199,9.538170
RLG,ETNL,Rostock-Laage Airport,Laage,DE,53.918201,12.278300
,ETNN,Nörvenich Air Base,Nörvenich,DE,50.831200,6.658170
WBG,ETNS,Schleswig Air Base,Jagel,DE,54.459301,9.516330
,ETNT,Wittmundhafen Air Base,Wittmund,DE,53.547798,7.667330
,ETNW,Wunstorf Air Base,,DE,52.457298,9.427170
WIE,ETOU,Wiesbaden Army Airfield,Wiesbaden,DE,50.049801,8.325400
,ETSB,Büchel Air Base,Alflen,DE,50.173801,7.063330
,ETSH,Holzdorf Air Base,Holzdorf,DE,51.767799,13.167700
IGS,ETSI,Ingolstadt Manching Airport,Manching,DE,48.715698,11.534000
,ETSL,Lechfeld Air Base,Graben,DE,48.185504,10.861200
,ETSN,Neuburg Air Base,Neuburg an der Donau,DE,48.710999,11.211500
,EVKA,Jēkabpils Air Base,Jēkabpils,LV,56.534698,25.892500
LPX,EVLA,Liepāja International Airport,Liepāja,LV,56.517502,21.096901
RIX,EVRA,Riga International Airport,Riga,LV,56.920752,23.970711
,EVTA,Jūrmala Airport,Tukums,LV,56.942200,23.223900
KUN,EYKA,Kaunas International Airport,Kaunas,LT,54.963965,24.085820
,EYKD,Kėdainiai Air Base,Kėdainiai,LT,55.311699,23.956400
PLQ,EYPA,Palanga International Airport,Palanga,LT,55.973202,21.093901
PNV,EYPP,Panevėžys Air Base,Panevėžys,LT,55.729401,24.460800
SQQ,EYSA,Šiauliai International Airport,Šiauliai,LT,55.893902,23.395000
,EYSB,Barysiai Airfield,Šiauliai,LT,56.070599,23.558100
VNO,EYVI,Vilnius International Airport,Vilnius,LT,54.634102,25.285801
ALJ,FAAB,Alexander Bay Airport,Alexander Bay,ZA,-28.575001,16.533300
AGZ,FAAG,Aggeneys Airport,Aggeneys,ZA,-29.281799,18.813900
BIY,FABE,Bisho Airport,Bisho,ZA,-32.897099,27.279100
BFN,FABL,Bram Fischer International Airport,Bloemfontein,ZA,-29.092699,26.302401
,FABR,Barberton Airport,Umjindi (Barberton),ZA,-25.717147,30.974974
CPT,FACT,Cape Town International Airport,Cape Town,ZA,-33.974030,18.604333
ELS,FAEL,King Phalo Airport,East London,ZA,-33.035599,27.825899
,FAEO,Ermelo Airport,Ermelo,ZA,-26.495600,29.979799
FCB,FAFB,Ficksburg Sentraoes Airport,Ficksburg,ZA,-28.823099,27.908899
GCJ,FAGC,Grand Central Airport,Midrand,ZA,-25.986300,28.140100
GRJ,FAGG,George Airport,George,ZA,-34.005600,22.378902
QRA,FAGM,Rand Airport,Johannesburg,ZA,-26.242500,28.151199
HRS,FAHR,Harrismith Airport,Harrismith,ZA,-28.235100,29.106199
HDS,FAHT,Eastgate Airport / Air Force Base Hoedspruit,Hoedspruit,ZA,-24.361864,31.052921
KXE,FAKD,P C Pelser Airport,Klerksdorp,ZA,-26.871099,26.718000
KIM,FAKM,Kimberley Airport,Kimberley,ZA,-28.805401,24.764872
MQP,FAKN,Kruger Mpumalanga International Airport,Mbombela,ZA,-25.383327,31.105325
KMH,FAKU,Johan Pienaar Airport,Kuruman,ZA,-27.456596,23.411946
KLZ,FAKZ,Kleinsee Airport,Kleinsee,ZA,-29.688400,17.094000
HLA,FALA,Lanseria International Airport,Johannesburg,ZA,-25.938964,27.926642
LMR,FALC,Lime Acres Finsch Mine Airport,Lime Acres,ZA,-28.360100,23.439100
DUR,FALE,King Shaka International Airport,Durban,ZA,-29.614444,31.119722
SDB,FALW,Langebaanweg Airport,Langebaanweg,ZA,-32.968899,18.160299
LAY,FALY,Ladysmith Airport,Ladysmith,ZA,-28.581699,29.749701
AAM,FAMD,Malamala Airport,Malamala,ZA,-24.816866,31.544085
MGH,FAMG,Margate Airport,Margate,ZA,-30.857401,30.343000
MBD,FAMM,Mmabatho International Airport,Mafeking,ZA,-25.798401,25.548000
,FAMS,Morningside Farm Airport,Silveroaks,ZA,-25.704500,26.909000
MZQ,FAMU,Mkuze Airport,Mkuze,ZA,-27.626101,32.044300
NCS,FANC,Newcastle Airport,Newcastle,ZA,-27.770599,29.976900
OUH,FAOH,Oudtshoorn Airport,Oudtshoorn,ZA,-33.606998,22.188999
JNB,FAOR,O.R. Tambo International Airport,Johannesburg,ZA,-26.140081,28.246801
PLZ,FAPE,Chief Dawid Stuurman International Airport,Gqeberha (Port Elizabeth),ZA,-33.989715,25.617353
PBZ,FAPG,Plettenberg Bay Airport,Plettenberg Bay,ZA,-34.088160,23.328723
PHW,FAPH,Hendrik Van Eck Airport,Phalaborwa,ZA,-23.937201,31.155399
,FAPI,Pietersburg Municipal Airport,Polokwane,ZA,-23.926100,29.484400
JOH,FAPJ,Port St Johns Airport,Port St Johns,ZA,-31.606120,29.521750
PZB,FAPM,Pietermaritzburg Airport,Pietermaritzburg,ZA,-29.649000,30.398701
NTY,FAPN,Pilanesberg International Airport,Pilanesberg,ZA,-25.333799,27.173401
PTG,FAPP,Polokwane International Airport,Polokwane,ZA,-23.845269,29.458615
PCF,FAPS,Potchefstroom Airport,Potchefstroom,ZA,-26.671000,27.081900
UTW,FAQT,Queenstown Airport,Queenstown,ZA,-31.920200,26.882200
RCB,FARB,Richards Bay Airport,Richards Bay,ZA,-28.740999,32.092098
,FARG,Rustenburg Airport,Rustenburg,ZA,-25.644300,27.271099
ROD,FARS,Robertson Airport,Robertson,ZA,-33.812199,19.902800
SBU,FASB,Springbok Airport,Springbok,ZA,-29.689301,17.939600
ZEC,FASC,Secunda Airport,Secunda,ZA,-26.524099,29.170099
,FASD,Saldanha/Vredenburg Airport,Saldanha-Vredenburg,ZA,-32.964100,17.969299
,FASK,Swartkop Air Force Base,Pretoria,ZA,-25.809700,28.164600
SIS,FASS,Sishen Airport,Sishen,ZA,-27.648600,22.999300
SZK,FASZ,Skukuza Airport,Skukuza,ZA,-24.960850,31.588587
LTA,FATZ,Tzaneen Airport,Tzaneen,ZA,-23.824400,30.329300
ULD,FAUL,Prince Mangosuthu Buthelezi Airport,Ulundi,ZA,-28.320601,31.416500
UTN,FAUP,Upington Airport,Upington,ZA,-28.400246,21.263592
UTT,FAUT,K. D. Matanzima Airport,Mthatha,ZA,-31.546363,28.673355
VRU,FAVB,Vryburg Airport,Vyrburg,ZA,-26.982401,24.728800
VIR,FAVG,Virginia Airport,Durban,ZA,-29.770599,31.058399
VRE,FAVR,Vredendal Airport,Vredendal,ZA,-31.641001,18.544800
,FAVV,Vereeniging Airport,Vereeniging,ZA,-26.566401,27.960800
PRY,FAWB,Wonderboom Airport,Pretoria,ZA,-25.653900,28.224199
WKF,FAWK,Waterkloof Air Force Base,Pretoria,ZA,-25.830000,28.222500
,FAYP,Ysterplaat Air Force Base,Cape Town,ZA,-33.900200,18.498301
FRW,FBFT,Phillip Gaonwe Matante International Airport,Francistown,BW,-21.159183,27.468826
JWA,FBJW,Jwaneng Airport,Jwaneng,BW,-24.602301,24.691000
BBK,FBKE,Kasane International Airport,Kasane,BW,-17.831653,25.166195
MUB,FBMN,Maun International Airport,Maun,BW,-19.970491,23.431409
GBE,FBSK,Sir Seretse Khama International Airport,Gaborone,BW,-24.555201,25.918200
SXN,FBSN,Sua Pan Airport,Sowa,BW,-20.553400,26.115801
PKW,FBSP,Selebi Phikwe Airport,Selebi Phikwe,BW,-22.058300,27.828800
BZV,FCBB,Maya-Maya International Airport,Brazzaville,CG,-4.251700,15.253000
OLL,FCOD,Oyo Ollombo Airport,Oyo,CG,-1.226666,15.910000
FTX,FCOO,Owando Airport,Owando,CG,-0.524566,15.937820
OUE,FCOU,Ouesso Airport,,CG,1.615990,16.037901
DIS,FCPL,Ngot Nzoungou Airport,Dolisie,CG,-4.206350,12.659900
PNR,FCPP,Antonio Agostinho-Neto International Airport,Pointe Noire,CG,-4.816030,11.886600
MTS,FDMS,Matsapha International Airport,Manzini,SZ,-26.528919,31.307577
SHO,FDSK,King Mswati III International Airport,Mpaka,SZ,-26.358611,31.716944
BGF,FEFF,Bangui M'Poko International Airport,Bangui,CF,4.398480,18.518801
BBT,FEFT,Berbérati Airport,Berbérati,CF,4.221580,15.786400
BSG,FGBT,Bata International Airport,Bata,GQ,1.905470,9.805680
GEM,FGMY,President Obiang Nguema International Airport,Mengomeyén,GQ,1.676437,11.024904
SSG,FGSL,Malabo International Airport,Malabo,GQ,3.755270,8.708720
ASI,FHAW,RAF Ascension Island,Cat Hill,SH,-7.970179,-14.392744
HLE,FHSH,Saint Helena International Airport,Jamestown,SH,-15.958898,-5.646066
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,MU,-20.430201,57.683601
RRG,FIMR,Sir Charles Gaetan Duval Airport,Port Mathurin,MU,-19.756696,63.359326
NKW,FJDG,Naval Support Facility Diego Garcia,Diego Garcia,IO,-7.313270,72.411102
TKC,FKKC,Tiko Airport,Tiko,CM,4.089190,9.360530
DLA,FKKD,Douala International Airport,Douala,CM,4.006080,9.719480
MVR,FKKL,Salak Airport,Maroua,CM,10.451400,14.257400
FOM,FKKM,Foumban Nkounja Airport,Foumban,CM,5.636920,10.750800
NGE,FKKN,N'Gaoundéré Airport,N'Gaoundéré,CM,7.357010,13.559200
GOU,FKKR,Garoua International Airport,Garoua,CM,9.334785,13.372129
BFX,FKKU,Bafoussam Airport,Bafoussam,CM,5.536920,10.354600
BPC,FKKV,Bamenda Airport,Bamenda,CM,6.039240,10.122600
YAO,FKKY,Yaoundé Ville Airport,Yaoundé,CM,3.836040,11.523500
NSI,FKYS,Yaoundé Nsimalen International Airport,Yaoundé,CM,3.722560,11.553300
CGJ,FLKE,Kasompe Airport,Chingola,ZM,-12.572800,27.893900
,FLLC,Lusaka City Airport,Lusaka,ZM,-15.413800,28.330700
LVI,FLLI,Harry Mwanga Nkumbula International Airport,Livingstone,ZM,-17.821524,25.819642
LUN,FLLS,Kenneth Kaunda International Airport,Lusaka,ZM,-15.330833,28.452722
MFU,FLMF,Mfuwe International Airport,Mfuwe,ZM,-13.258900,31.936600
MNR,FLMG,Mongu Airport,Mongu,ZM,-15.254500,23.162300
,FLND,Peter Zuze Air Force Base,Ndola,ZM,-12.997222,28.663889
NLA,FLSK,Simon Mwansa Kapwepwe International Airport,Ndola,ZM,-12.965130,28.515624
KIW,FLSO,Southdowns Airport,Kitwe,ZM,-12.900500,28.149900
HAH,FMCH,Prince Said Ibrahim International Airport,Moroni,KM,-11.533700,43.271900
NWA,FMCI,Mohéli Bandar Es Eslam Airport,Fomboni,KM,-12.298096,43.766496
AJN,FMCV,Ouani Airport,Ouani,KM,-12.131047,44.430044
DZA,FMCZ,Dzaoudzi Pamandzi International Airport,Dzaoudzi,YT,-12.809319,45.281815
RUN,FMEE,Roland Garros Airport,Sainte-Marie,RE,-20.890087,55.518894
ZSE,FMEP,Saint-Pierre Pierrefonds Airport,Saint-Pierre,RE,-21.319362,55.422506
TNR,FMMI,Ivato International Airport,Antananarivo,MG,-18.796900,47.478802
ZVA,FMMN,Miandrivazo Airport,Miandrivazo,MG,-19.562799,45.450802
SMS,FMMS,Sainte Marie Airport,Vohilava,MG,-17.093901,49.815800
TMM,FMMT,Toamasina Ambalamanasy Airport,Toamasina,MG,-18.113537,49.392262
MOQ,FMMV,Morondava Airport,Morondava,MG,-20.284700,44.317600
DIE,FMNA,Arrachart Airport,Antisiranana,MG,-12.349400,49.291698
WMR,FMNC,Mananara Nord Airport,Mananara Nord,MG,-16.163900,49.773800
ZWA,FMND,Andapa Airport,,MG,-14.651700,49.620602
ANM,FMNH,Antsirabe Airport,Antsirabe,MG,-14.999400,50.320202
HVA,FMNL,Analalava Airport,Analalava,MG,-14.629514,47.763555
MJN,FMNM,Amborovy Airport,Mahajanga,MG,-15.666842,46.351233
NOS,FMNN,Nosy Be International Airport,Nosy Be,MG,-13.312100,48.314800
BPY,FMNQ,Besalampy Airport,Besalampy,MG,-16.744530,44.482484
WMN,FMNR,Maroantsetra Airport,Maroantsetra,MG,-15.437742,49.689081
SVB,FMNS,Sambava Airport,Sambava,MG,-14.278600,50.174702
VOH,FMNV,Vohemar Airport,Vohemar,MG,-13.375800,50.002800
WAI,FMNW,Ambalabe Airport,Antsohihy,MG,-14.898800,47.993900
FTU,FMSD,Tôlanaro Airport,Tôlanaro,MG,-25.038099,46.956100
WFI,FMSF,Fianarantsoa Airport,Fianarantsoa,MG,-21.441601,47.111698
WVK,FMSK,Manakara Airport,Manakara,MG,-22.119699,48.021702
MNJ,FMSM,Mananjary Airport,Mananjary,MG,-21.201799,48.358299
MXM,FMSR,Morombe Airport,Morombe,MG,-21.753837,43.374753
TLE,FMST,Toliara Airport,Toliara,MG,-23.383400,43.728500
SSY,FNBC,Mbanza Congo Airport,Mbanza Congo,AO,-6.269900,14.247000
BUG,FNBG,Benguela Airport,Benguela,AO,-12.609000,13.403700
NBJ,FNBJ,Dr. Antonio Agostinho Neto International Airport,Luanda (Ícolo e Bengo),AO,-9.050734,13.499078
CAB,FNCA,Cabinda Airport,Cabinda,AO,-5.598390,12.188145
CBT,FNCT,Catumbela Airport,Catumbela,AO,-12.479200,13.486900
DUE,FNDU,Dundo Airport,Chitato,AO,-7.400890,20.818501
VPE,FNGI,Ngjiva Pereira Airport,Ngiva,AO,-17.043501,15.683800
NOV,FNHU,Albano Machado Airport,Huambo,AO,-12.808900,15.760500
SVP,FNKU,Kuito Airport,Kuito,AO,-12.404600,16.947399
LAD,FNLU,Quatro de Fevereiro International Airport,Luanda,AO,-8.858370,13.231200
MEG,FNMA,Malanje Airport,Malanje,AO,-9.525090,16.312401
SPP,FNME,Menongue Airport,Menongue,AO,-14.657600,17.719801
MSZ,FNMO,Welwitschia Mirabilis International Airport,Moçâmedes,AO,-15.261200,12.146800
GXG,FNNG,Negage Airport,Negage,AO,-7.754510,15.287700
PBN,FNPA,Porto Amboim Airport,Port Amboim,AO,-10.722000,13.765500
VHC,FNSA,Saurimo Airport,Saurimo,AO,-9.689070,20.431900
SZA,FNSO,Soyo Airport,Soyo,AO,-6.141090,12.371800
NDD,FNSU,Sumbe Airport,Sumbe,AO,-11.167900,13.847500
SDD,FNUB,Lubango Mukanka International Airport,Lubango,AO,-14.924839,13.576653
LUO,FNUE,Luena Airport,Luena,AO,-11.768100,19.897699
UGO,FNUG,Uige Airport,Uige,AO,-7.603070,15.027800
XGN,FNXA,Xangongo Airport,Xangongo,AO,-16.755400,14.965300
KOU,FOGK,Koulamoutou Mabimbi Airport,Koulamoutou,GA,-1.184610,12.441300
MJL,FOGM,Mouilla Ville Airport,Mouila,GA,-1.845140,11.056700
OYE,FOGO,Oyem Airport,Oyem,GA,1.543110,11.581400
OKN,FOGQ,Okondja Airport,Okondja,GA,-0.665214,13.673100
LBQ,FOGR,Lambarene Airport,Lambarene,GA,-0.704389,10.245700
BMM,FOOB,Bitam Airport,Bitam,GA,2.075640,11.493200
POG,FOOG,Port Gentil International Airport,Port Gentil,GA,-0.711739,8.754380
OMB,FOOH,Omboue Hospital Airport,Omboue,GA,-1.574730,9.262690
MKU,FOOK,Makokou Airport,Makokou,GA,0.579211,12.890900
LBV,FOOL,Libreville Leon M'ba International Airport,Libreville,GA,0.458951,9.412140
MVB,FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA,-1.656160,13.438000
PCP,FPPR,Principe Airport,São Tomé & Príncipe,ST,1.661155,7.411081
TMS,FPST,São Tomé International Airport,São Tomé,ST,0.378175,6.712150
BEW,FQBR,Beira International Airport,Beira,MZ,-19.796400,34.907600
VPY,FQCH,Chimoio Airport,Chimoio,MZ,-19.151300,33.429001
INH,FQIN,Inhambane Airport,Inhambane,MZ,-23.876400,35.408501
VXC,FQLC,Lichinga Airport,Lichinga,MZ,-13.274000,35.266300
MPM,FQMA,Maputo Airport,Maputo,MZ,-25.920799,32.572601
MUD,FQMD,Mueda Airport,Mueda,MZ,-11.672900,39.563099
MZB,FQMP,Mocímboa da Praia Airport,Mocímboa da Praia,MZ,-11.361800,40.354900
MNC,FQNC,Nacala International Airport,Nacala,MZ,-14.488200,40.712200
APL,FQNP,Nampula Airport,Nampula,MZ,-15.105600,39.281799
POL,FQPB,Pemba Airport,Pemba,MZ,-12.993302,40.524867
UEL,FQQL,Quelimane Airport,Quelimane,MZ,-17.855499,36.869099
TET,FQTT,Tete Airport,Tete,MZ,-16.104799,33.640202
VNX,FQVL,Vilankulo Airport,Vilanculo,MZ,-22.018400,35.313301
SEZ,FSIA,Seychelles International Airport,Victoria,SC,-4.674340,55.521801
PRI,FSPP,Praslin Island Airport,Praslin Island,SC,-4.319256,55.691561
,FTFY,Ouadi Doum Air Base,Wadi Doum,TD,18.527930,20.188644
AEH,FTTC,Abeche Airport,Abeche,TD,13.847000,20.844299
MQQ,FTTD,Moundou Airport,Moundou,TD,8.628503,16.074241
NDJ,FTTJ,N'Djamena International Airport,N'Djamena,TD,12.133700,15.034000
FYT,FTTY,Faya-Largeau Airport,Faya-Largeau,TD,17.917101,19.111099
BUQ,FVBU,Joshua Mqabuko Nkomo International Airport,Bulawayo,ZW,-20.016284,28.622897
BFO,FVCZ,Buffalo Range Airport,Chiredzi,ZW,-21.008101,31.578600
VFA,FVFA,Victoria Falls International Airport,Victoria Falls,ZW,-18.097437,25.836867
HRE,FVHA,Robert Gabriel Mugabe International Airport,Harare,ZW,-17.931801,31.092800
KAB,FVKB,Kariba Airport,Kariba,ZW,-16.519800,28.885000
,FVMT,Mutoko Airport,Mutoko,ZW,-17.431900,32.184502
MVZ,FVMV,Masvingo International Airport,Masvingo,ZW,-20.055300,30.859100
GWE,FVTL,Josiah Tungamirai Air Force Base,Gweru,ZW,-19.436718,29.861945
HWN,FVWN,Hwange National Park Airport,Gwayi River Farms,ZW,-18.629900,27.021000
BLZ,FWCL,Chileka International Airport,Blantyre,MW,-15.677189,34.972319
DWA,FWDW,Dwangwa Airport,Dwangwa,MW,-12.517527,34.131877
KGJ,FWKA,Karonga Airport,Karonga,MW,-9.953571,33.893264
LLW,FWKI,Kamuzu International Airport,Lumbadzi,MW,-13.789400,33.780998
ZZU,FWUU,Mzuzu Airport,Mzuzu,MW,-11.444700,34.011799
MSU,FXMM,Moshoeshoe I International Airport,Maseru(Mazenod),LS,-29.456277,27.554456
ADI,FYAR,Arandis Airport,Arandis,NA,-22.461875,14.979322
GFY,FYGF,Grootfontein Airport,Grootfontein,NA,-19.602200,18.122700
MPA,FYKM,Katima Mulilo Airport,Mpacha,NA,-17.634258,24.176688
KMP,FYKT,Keetmanshoop Airport,Keetmanshoop,NA,-26.539801,18.111401
LUD,FYLZ,Luderitz Airport,Luderitz,NA,-26.687401,15.242900
,FYML,Mariental Airport,Mariental,NA,-24.605400,17.925400
OND,FYOA,Ondangwa Airport,Ondangwa,NA,-17.878201,15.952600
OMD,FYOG,Oranjemund Airport,Oranjemund,NA,-28.585318,16.446380
NDU,FYRU,Rundu Airport,Rundu,NA,-17.956499,19.719400
,FYTF,Twyfelfontein Airport,Twyfelfontein,NA,-20.544240,14.358790
TSB,FYTM,Tsumeb Airport,Tsumeb,NA,-19.262079,17.732509
WVB,FYWB,Walvis Bay International Airport,Walvis Bay(Rooikop),NA,-22.979332,14.647102
ERS,FYWE,Eros Airport,Windhoek,NA,-22.604920,17.079002
WDH,FYWH,Hosea Kutako International Airport,Windhoek,NA,-22.479900,17.470900
FIH,FZAA,Ndjili International Airport,Kinshasa,CD,-4.385750,15.444600
NLO,FZAB,Ndolo Airport,N'dolo,CD,-4.326660,15.327500
FDU,FZBO,Bandundu Airport,Bandundu,CD,-3.311320,17.381701
KKW,FZCA,Kikwit Airport,Kikwit,CD,-5.035770,18.785601
MDK,FZEA,Mbandaka Airport,Mbandaka,CD,0.022600,18.288700
BDT,FZFD,Gbadolite Airport,Gbadolite,CD,4.252745,20.975271
GMA,FZFK,Gemena Airport,Gemena,CD,3.235370,19.771299
LIQ,FZGA,Lisala Airport,Lisala,CD,2.170660,21.496901
FKI,FZIC,Bangoka International Airport,Kisangani,CD,0.481639,25.337999
IRP,FZJH,Matari Airport,Isiro,CD,2.827610,27.588301
BUX,FZKA,Bunia Airport,Bunia,CD,1.565743,30.220685
BZU,FZKJ,Buta Zega Airport,Buta,CD,2.818058,24.793997
BKY,FZMA,Bukavu Kavumu Airport,Kamakombe,CD,-2.308980,28.808800
GOM,FZNA,Goma International Airport,Goma,CD,-1.666758,29.238037
KND,FZOA,Kindu Airport,Kindu,CD,-2.919180,25.915400
FBM,FZQA,Lubumbashi International Airport,Lubumbashi,CD,-11.591494,27.530753
KWZ,FZQM,Kolwezi Airport,Kolwezi,CD,-10.765900,25.505699
FMI,FZRF,Kalemie Airport,Kalemie,CD,-5.875560,29.250000
,FZSA,Kamina Air Base,Lumwe,CD,-8.642020,25.252899
KGA,FZUA,Kananga Airport,Kananga,CD,-5.900050,22.469200
MJM,FZWA,Mbuji Mayi Airport,Mbuji Mayi,CD,-6.121240,23.569000
BKO,GABS,Modibo Keita International Airport,Bamako,ML,12.533500,-7.949940
GAQ,GAGO,Gao International Airport,Gao,ML,16.248466,-0.005389
KYS,GAKY,Kayes Dag Dag Airport,Kayes,ML,14.482521,-11.399335
MZI,GAMB,Mopti Airport,Sévaré,ML,14.512800,-4.079560
TOM,GATB,Tombouktou Airport,Timbuktu,ML,16.730499,-3.007580
BJL,GBYD,Banjul International Airport,Banjul (Yundum),GM,13.338000,-16.652201
FUE,GCFV,Fuerteventura Airport,El Matorral,ES,28.452700,-13.863800
VDE,GCHI,El Hierro Airport,El Hierro Island,ES,27.814800,-17.887100
SPC,GCLA,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",ES,28.626499,-17.755600
LPA,GCLP,Gran Canaria Airport,Gran Canaria Island,ES,27.931900,-15.386600
ACE,GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.945499,-13.605200
TFS,GCTS,Tenerife Sur Airport,Tenerife,ES,28.044500,-16.572500
TFN,GCXO,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,28.482752,-16.341707
,GE-0007,Ozurgeti Air Base,Ozurgeti,GE,41.929100,41.863499
,GE-0010,Senaki Air Base,Senaki,GE,42.240306,42.045493
MLN,GEML,Melilla Airport,Melilla,ES,35.279800,-2.956260
KBS,GFBO,Bo Airport,Bo,SL,7.944400,-11.761000
KEN,GFKE,Kenema Airport,Kenema,SL,7.896364,-11.174126
FNA,GFLL,Lungi International Airport,Freetown (Lungi-Town),SL,8.616440,-13.195500
WYE,GFYE,Yengema Airport,Yengema,SL,8.610470,-11.045400
OXB,GGOV,Osvaldo Vieira International Airport,Bissau,GW,11.894262,-15.653596
JJU,GL-0012,Qaqortoq Airport,Qaqortoq,GL,60.763830,-46.065001
SNI,GLGE,Greenville/Sinoe Airport,Greenville,LR,5.032124,-9.064236
MLW,GLMR,Spriggs Payne Airport,Monrovia,LR,6.289060,-10.758700
ROB,GLRB,Roberts International Airport,Monrovia,LR,6.233790,-10.362300
AGA,GMAD,Al Massira Airport,Agadir (Temsia),MA,30.322478,-9.412003
TTA,GMAT,Tan Tan Airport,Tan Tan,MA,28.447563,-11.161749
OZG,GMAZ,Zagora Airport,Zagora,MA,30.265788,-5.860808
UAR,GMFB,Bouarfa Airport,Bouarfa,MA,32.514306,-1.983056
FEZ,GMFF,Fes Saïss International Airport,Saïss,MA,33.927299,-4.977960
ERH,GMFK,Moulay Ali Cherif Airport,Errachidia,MA,31.947500,-4.398330
MEK,GMFM,Bassatine Airport,Meknes,MA,33.879101,-5.515120
OUD,GMFO,Oujda Angads Airport,Ahl Angad,MA,34.789558,-1.926041
SMW,GMMA,Smara Airport,Smara,EH,26.731987,-11.683655
BEM,GMMD,Beni Mellal Airport,Oulad Yaich,MA,32.401895,-6.315905
RBA,GMME,Rabat-Salé Airport,Rabat,MA,34.051498,-6.751520
VIL,GMMH,Dakhla Airport,Dakhla,EH,23.718300,-15.932000
ESU,GMMI,Essaouira-Mogador Airport,Essaouira,MA,31.397499,-9.681670
EUN,GMML,Laayoune Hassan I International Airport,El Aaiún,EH,27.142467,-13.224947
CMN,GMMN,Mohammed V International Airport,Casablanca,MA,33.367500,-7.589970
NDR,GMMW,Nador Al Aaroui International Airport,Al Aaroui,MA,34.988800,-3.028210
RAK,GMMX,Marrakesh Menara Airport,Marrakesh,MA,31.604807,-8.035788
NNA,GMMY,Kenitra Air Base,Kenitra,MA,34.298901,-6.595880
OZZ,GMMZ,Ouarzazate International Airport,Ouarzazate,MA,30.939100,-6.909430
AHU,GMTA,Cherif Al Idrissi Airport,Al Hoceima,MA,35.177101,-3.839520
TTU,GMTN,Sania Ramel Airport,Tétouan,MA,35.594299,-5.320020
TNG,GMTT,Tangier Ibn Battuta Airport,Tangier,MA,35.731741,-5.921459
DSS,GOBD,Blaise Diagne International Airport,Dakar,SN,14.670878,-17.072829
ZIG,GOGG,Ziguinchor Airport,Ziguinchor,SN,12.555590,-16.283298
CSK,GOGS,Cap Skirring Airport,Cap Skirring,SN,12.395330,-16.748000
KLC,GOOK,Kaolack Airport,Kaolack,SN,14.146900,-16.051300
DKR,GOOY,Léopold Sédar Senghor International Airport,Dakar,SN,14.742337,-17.479222
MAX,GOSM,Ouro Sogui Airport,Ouro Sogui,SN,15.593600,-13.322800
XLS,GOSS,Saint Louis Airport,Saint Louis,SN,16.049814,-16.461039
BXE,GOTB,Bakel Airport,Bakel,SN,14.847300,-12.468300
KGG,GOTK,Kédougou Airport,Kédougou,SN,12.572300,-12.220300
TUD,GOTT,Tambacounda Airport,Tambacounda,SN,13.736800,-13.653100
NKC,GQNO,Nouakchott–Oumtounsy International Airport,Nouakchott,MR,18.310000,-15.969722
ATR,GQPA,Atar International Airport,Atar,MR,20.505823,-13.043744
NDB,GQPP,Nouadhibou International Airport,Nouadhibou,MR,20.932404,-17.030199
OUZ,GQPZ,Tazadit Airport,Zouérate,MR,22.757345,-12.482228
,GR-0109,(*)Kasteli Hellenic Air Force Base,Kasteli,GR,35.191341,25.326588
CKY,GUCY,Ahmed Sékou Touré International Airport,Conakry,GN,9.576890,-13.612000
SID,GVAC,Amílcar Cabral International Airport,Espargos,CV,16.741400,-22.949400
BVC,GVBA,Aristides Pereira International Airport,Rabil,CV,16.136499,-22.888901
MMO,GVMA,Maio Airport,Vila do Maio,CV,15.155900,-23.213699
RAI,GVNP,Nelson Mandela International Airport,Praia,CV,14.941126,-23.484728
SNE,GVSN,Preguiça Airport,Preguiça,CV,16.588852,-24.284132
VXE,GVSV,Cesaria Evora International Airport,São Pedro,CV,16.833363,-25.055308
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.977890,38.799301
AMH,HAAM,Arba Minch Airport,Arba Minch,ET,6.039390,37.590500
AXU,HAAX,Axum Airport,Axum,ET,14.146800,38.772800
BJR,HABD,Bahir Dar Airport,Bahir Dar,ET,11.608100,37.321602
DIR,HADR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET,9.623549,41.855027
GMB,HAGM,Gambela Airport,Gambela,ET,8.128760,34.563099
GDQ,HAGN,Gondar Airport,Azezo,ET,12.519900,37.433998
GDE,HAGO,Gode Airport,Gode,ET,5.935130,43.578602
QHR,HAHM,Harar Meda Airport,Debre Zeyit,ET,8.716300,39.005900
JIJ,HAJJ,Gerad Wilwal International Airport,Jijiga,ET,9.331907,42.911811
BCO,HAJK,Jinka Airport,Jinka,ET,5.749655,36.560165
